CASP3,STAT3
IL1B,MMRN1
MAP1LC3A,UBXD1
CAP1,RARB
BCL2,PPARGC1A
ELAVL1,MIRN122
MMRN1,PRKAA2
ACTC1,TNF
CLDN2,CLDN5
BCL2L11,VEGFA
IL17A,JUP
GPX4,OTUD5
BCL2L11,IL1B
SETD2,SMAD2
TLR2,TLR4
CCL2,IL13
LCN2,RBP4
CASP3,CASP8
MKI67,TNF
AAAS,LGALS3
MAPK3,SMAD2
MMRN1,VEGFA
CASP3,FOXO3
CASP3,S100A4
LAMP1,RPS27A
CASP3,PPARGC1A
CASP8,SIRT1
CCL2,CCL4
IL6,JAK2
IL10,NFKB1
BCL2,SIRT1
PLAA,TFEB
PTP4A2,RPS27A
CCL4,CXCL10
LGALS3,PLAA
PECAM1,TNF
