0,1
NOS2A,MPO
PRTN3,MPO
NSUN2,MYLIP
RBP4,NAGLU
BCL2,NFE2L2
BCL2L11,NFE2L2
CCL2,NFE2L2
HMOX1,NFE2L2
IL1B,NFE2L2
IL6,NFE2L2
JAK2,NFE2L2
JUP,NFE2L2
NOS2A,NFE2L2
NSUN2,NFE2L2
PIK3CA,NFE2L2
PPARGC1A,NFE2L2
PRKAA2,NFE2L2
PTGS2,NFE2L2
SETD2,NFE2L2
SIRT1,NFE2L2
SMAD2,NFE2L2
STAT3,NFE2L2
VEGFA,NFE2L2
IL10,NFKB1
NFKB1,IL1A
PROC,NLGN4X
NOS2A,IL1B
NPHS1,HAVCR1
NPHS1,LCN2
NPHS1,MMP2
INS,NPPA
NR5A2,GABPA
NR5A2,HMOX1
OTUD5,AAVS1
OTUD5,GPX4
PAX2,SIRT3
CD274,PDCD1
IL13,PDGFB
IL17A,PDGFB
ACTC1,PECAM1
MKI67,PECAM1
PGAM5,PGAM2
PGAM5,CYCS
PIK3CA,AGT
PIK3CA,AKT1
PIK3CA,CCL2
EGF,PIK3CA
EGFR,PIK3CA
PIK3CA,HMOX1
IAPP,PIK3CA
PIK3CA,IL1B
IL6,PIK3CA
PIK3CA,JAK2
PIK3CA,MAPK1
PIK3CA,PRKAA2
PIK3CA,SMAD2
PIK3CA,VEGFA
AAAS,PLAA
PLAA,GSTA1
HMBS,PLAA
LGALS3,PLAA
PTP4A2,PLAA
PLAA,RPS27A
PLG,COL1A1
PLG,COL23A1
PLG,ENPP6
PLG,NLGN4X
PLG,PROC
PLG,TGFA
PLG,TGFB2
BCL2,PPARGC1A
BCL2L11,PPARGC1A
PPARGC1A,CCL2
HMOX1,PPARGC1A
PPARGC1A,IL1B
IL6,PPARGC1A
JAK2,PPARGC1A
JUP,PPARGC1A
PIK3CA,PPARGC1A
PRKAA2,PPARGC1A
SETD2,PPARGC1A
SIRT1,PPARGC1A
SMAD2,PPARGC1A
STAT3,PPARGC1A
PPARGC1A,VEGFA
PRKAA2,SMAD2
PRKAA2,VEGFA
PROM1,CD24
PTGS2,HMOX1
MAFK,PTGS2
PTGS2,MT-CO2
NOS2A,PTGS2
AAAS,PTP4A2
PTP4A2,GSTA1
HMBS,PTP4A2
LGALS3,PTP4A2
PTP4A2,RPS27A
VCP,PTP4A2
RARB,CAP1
AKT1,RORC
PIK3CA,RORC
AAAS,RPS27A
GSTA1,RPS27A
HMBS,RPS27A
LGALS3,RPS27A
PARK2,RPS27A
S100A4,ACTC1
MKI67,S100A4
S100A4,PECAM1
IL6,SAA
SDC1,THBD
SETD2,CCL2
SETD2,IL1B
SETD2,IL6
SETD2,JAK2
SETD2,PIK3CA
SETD2,PRKAA2
SETD2,SIRT1
SETD2,SMAD2
SETD2,STAT3
SETD2,VEGFA
SIRT1,CCL2
SIRT1,FOXO3
SIRT1,GABPA
SIRT1,HMOX1
SIRT1,IL1B
IL6,SIRT1
SIRT1,JAK2
NR5A2,SIRT1
PIK3CA,SIRT1
SIRT1,PRKAA1
SIRT1,PRKAA2
SIRT1,SMAD2
SIRT1,STAT3
SIRT1,VEGFA
SIRT3,MBTPS1
SOD2,SIRT3
HMGCS2,SIRT5
SLC22A6,CD44
SLC22A6,CXCL5
SLC22A6,MAPK15
REN,SLC5A2
SLC6A20,SLC6A12
SLC7A11,AMBP
SLC7A11,MARCH8
SLC7A1,SLC7A11
SMAD2,VEGFA
SOD1,CAT
